name,calories,total_fat,sodium,protein,carbohydrate,sugars,food_group
"Beverages, Orange Pi",29,0g,21.00 mg,0.00 g,7.41 g,7.41 g,grains
"Tomatoes, packed in ",16,0.3g,115.00 mg,0.79 g,3.47 g,2.55 g,grains
"Apples, stewed, sulf",74,0.1g,26.00 mg,0.28 g,19.91 g,0,grains
"Seal, dried (Alaska ",351,2.3g,0,82.60 g,0.00 g,0.00 g,grains
"Rice, dry, unenriche",374,1g,2.00 mg,7.51 g,80.89 g,0.33 g,grains
"Cereals, dry, Banana",368,4.9g,700.00 mg,8.97 g,75.70 g,29.45 g,grains
"Ice cream bar, with ",358,25g,84.00 mg,2.11 g,37.12 g,21.05 g,grains
"Pie, unenriched flou",237,11g,266.00 mg,1.90 g,34.00 g,0,grains
"Restaurant, breaded ",308,19g,1125.00 mg,12.67 g,22.29 g,0.91 g,grains
"Waterchestnuts, soli",50,0.1g,8.00 mg,0.88 g,12.30 g,2.46 g,grains
"Candies, SKITTLES So",401,4g,14.00 mg,0.18 g,91.02 g,73.16 g,grains
"Restaurant, chili wi",157,9.8g,381.00 mg,12.56 g,4.57 g,2.27 g,grains
"KEEBLER, Chocolate M",537,30g,342.00 mg,4.70 g,61.80 g,31.60 g,grains
"Wheat flour, bleache",364,1g,2.00 mg,10.33 g,76.31 g,0.27 g,grains
"Beverages, no caffei",41,0g,10.00 mg,0.09 g,10.42 g,10.38 g,grains
"Lamb, cooked, seam f",554,55g,53.00 mg,13.81 g,1.55 g,0.00 g,grains
"Pears, without added",127,0.3g,3.00 mg,0.91 g,33.81 g,27.41 g,grains
"Snacks, unsalted, bu",380,3.5g,4.00 mg,9.00 g,80.10 g,0,grains
"Lamb, raw, Intermusc",640,69g,34.00 mg,4.63 g,1.26 g,0.00 g,grains
"Caribou, cooked (Ala",159,4.8g,45.00 mg,28.81 g,0.00 g,0.00 g,grains
"Snacks, traditional ",428,10g,696.00 mg,8.83 g,75.69 g,7.35 g,grains
"KELLOGG'S, Gingerbre",393,11g,433.00 mg,4.10 g,70.80 g,28.60 g,grains
WORTHINGTON Multigra,117,1.5g,371.00 mg,23.29 g,7.30 g,0.20 g,grains
"Apples, heated, drai",67,0.4g,3.00 mg,0.18 g,16.84 g,14.84 g,grains
WORTHINGTON Smoked T,251,16g,859.00 mg,18.50 g,7.90 g,2.40 g,grains
"Veal, raw, pancreas,",182,13g,67.00 mg,15.00 g,0.00 g,0,grains
"Lamb, raw, pancreas,",152,9.8g,75.00 mg,14.84 g,0.00 g,0,grains
"Crackers, rye (inclu",389,3.4g,899.00 mg,11.60 g,77.30 g,0,grains
"Cereals, dry, Farina",365,0.5g,3.00 mg,10.48 g,77.20 g,0.70 g,grains
"Cookies, without lem",363,9.1g,147.00 mg,10.60 g,59.70 g,0,grains
"Beverages, Glacial N",0,0g,1.00 mg,0.00 g,0.00 g,0.00 g,grains
"Soup, dry, low sodiu",438,14g,1067.00 mg,16.70 g,64.88 g,14.47 g,grains
"Cereals, dry, Butter",369,5.6g,1197.00 mg,8.12 g,74.83 g,0.88 g,grains
"Beverages, Cran Rasp",49,0g,14.00 mg,0.28 g,11.96 g,11.40 g,grains
"Mothbeans, with salt",117,0.6g,246.00 mg,7.81 g,20.96 g,0,grains
"Candies, GOOBERS Cho",512,34g,36.00 mg,9.70 g,53.00 g,43.00 g,grains
"Babyfood, mango and ",53,0g,2.00 mg,0.47 g,12.88 g,10.18 g,grains
HOT POCKETS Ham 'N C,241,9.1g,504.00 mg,9.16 g,30.55 g,7.60 g,grains
"Pork sausage, microw",438,42g,990.00 mg,15.12 g,0.62 g,0.62 g,grains
"OSCAR MAYER, Braunsc",331,29g,1159.00 mg,14.25 g,2.60 g,1.20 g,grains
"Cookies, cake-type (",349,3.7g,192.00 mg,5.00 g,78.30 g,0,grains
"Beef, raw, pancreas,",235,19g,67.00 mg,15.70 g,0.00 g,0,grains
"Sweeteners, sacchari",360,0g,428.00 mg,0.94 g,89.11 g,85.19 g,grains
"Fish, plain (Alaska ",74,1.9g,61.00 mg,9.60 g,4.47 g,0,grains
"Tangerines, juice pa",37,0g,5.00 mg,0.62 g,9.57 g,8.87 g,grains
"Pork, cooked, lean a",172,8.3g,969.00 mg,22.30 g,0.30 g,0.00 g,grains
"KEEBLER, Holiday, Me",528,28g,249.00 mg,2.90 g,66.70 g,44.30 g,grains
"Snacks, 90 Calorie B",408,8.3g,313.00 mg,4.17 g,79.17 g,29.17 g,grains
"Chayote, with salt, ",22,0.5g,237.00 mg,0.62 g,4.50 g,1.89 g,grains
"Lupins, without salt",119,2.9g,4.00 mg,15.57 g,9.88 g,0,grains
"Turnover, frozen, me",228,13g,378.00 mg,7.87 g,20.67 g,7.87 g,grains
"Beet greens, without",27,0.2g,241.00 mg,2.57 g,5.46 g,0.60 g,grains
"Restaurant, arroz co",146,3.7g,106.00 mg,3.20 g,24.92 g,15.26 g,grains
"KEEBLER, Peanut Crem",537,31g,354.00 mg,7.20 g,57.60 g,30.30 g,grains
"KEEBLER, Triple Fudg",533,29g,235.00 mg,3.60 g,64.20 g,42.70 g,grains
"KEEBLER, Fudge-Dippe",485,19g,136.00 mg,6.00 g,73.10 g,25.70 g,grains
"Plums, without added",107,0.2g,1.00 mg,0.96 g,28.08 g,24.98 g,grains
USDA Commodity Chick,162,5.7g,271.00 mg,27.52 g,0.00 g,0.00 g,grains
"Beans, microwaved, a",40,0.4g,3.00 mg,1.98 g,6.98 g,2.60 g,grains
"Mushroom, raw, expos",22,0.3g,5.00 mg,3.09 g,3.26 g,1.98 g,grains
"Crackers, multi-seed",453,16g,438.00 mg,11.25 g,66.30 g,0.86 g,grains
"Leeks, freeze-dried,",321,2.1g,35.00 mg,15.20 g,74.65 g,0,grains
"Beverages, brewed, o",1,0g,1.00 mg,0.00 g,0.20 g,0.00 g,grains
"Beef, raw, subcutane",685,72g,26.00 mg,8.50 g,0.00 g,0.00 g,grains
"Waffle, toasted, rea",309,9.5g,710.00 mg,7.42 g,48.39 g,4.41 g,grains
"KEEBLER, Mini Chocol",498,23g,418.00 mg,5.20 g,68.00 g,31.00 g,grains
"Peaches, with added ",103,0.2g,2.00 mg,1.06 g,26.60 g,0,grains
"Refried beans, reduc",89,2g,138.00 mg,4.98 g,13.55 g,0.54 g,grains
"Peas, drained solids",69,0.4g,2.00 mg,4.42 g,12.58 g,4.16 g,grains
"Candies, MILKY WAY M",443,18g,168.00 mg,3.20 g,71.22 g,57.81 g,grains
"KEEBLER, Vanilla, Ju",530,27g,113.00 mg,2.40 g,68.60 g,51.20 g,grains
"Lamb, raw,  85% lean",255,21g,0,17.14 g,0.00 g,0,grains
"Lamb, raw, subcutane",703,76g,28.00 mg,3.87 g,0.55 g,0.00 g,grains
"Cereals, dry, regula",361,1.6g,1.00 mg,8.80 g,79.20 g,0.64 g,grains
"Yam, with salt, or b",114,0.1g,244.00 mg,1.49 g,26.99 g,0.49 g,grains
"Yardlong bean, with ",47,0.1g,240.00 mg,2.53 g,9.17 g,0,grains
"Bamboo shoots, with ",11,0.2g,240.00 mg,1.53 g,1.52 g,0,grains
"Crustaceans, raw, fa",72,1g,62.00 mg,14.85 g,0.00 g,0,grains
"Bread, toasted, prep",305,5.9g,381.00 mg,9.20 g,56.40 g,4.22 g,grains
"Fast foods, and beef",180,6.8g,451.00 mg,7.03 g,23.37 g,2.10 g,grains
"Cookies, pecan, comm",542,33g,281.00 mg,4.90 g,58.30 g,0,grains
"Cookies, plain, comm",514,26g,353.00 mg,5.37 g,63.78 g,21.65 g,grains
"Ham, packaged (96% f",100,3.4g,1279.00 mg,16.90 g,0.55 g,0.00 g,grains
MORNINGSTAR FARMS BB,150,2.3g,438.00 mg,11.40 g,24.60 g,17.20 g,grains
"Turkey, roasted, ski",459,39g,116.00 mg,23.94 g,0.57 g,0.00 g,grains
"Beverages, powder, d",351,0.2g,23.00 mg,11.60 g,76.00 g,0.00 g,grains
"Lamb, raw, kidneys, ",97,3g,156.00 mg,15.74 g,0.82 g,0,grains
"Veal, raw, kidneys, ",99,3.1g,178.00 mg,15.76 g,0.85 g,0,grains
"Mollusks, steamed, c",111,0.8g,667.00 mg,20.54 g,5.41 g,0.00 g,grains
"Beverages, shelf sta",15,1.1g,71.00 mg,0.59 g,0.58 g,0.00 g,grains
"Beverages, DANNON, n",0,0g,0,0.00 g,0.00 g,0,grains
"CRACKER BARREL, frie",293,15g,874.00 mg,18.06 g,20.29 g,0.09 g,grains
"Candies, dietetic or",394,0g,0.00 mg,0.00 g,98.60 g,0.00 g,grains
"Lemon juice, single ",22,0.3g,1.00 mg,0.46 g,6.50 g,2.40 g,grains
"Restaurant, fried mo",325,18g,861.00 mg,14.75 g,25.14 g,2.36 g,grains
"KEEBLER, Cheese & Pe",492,25g,843.00 mg,10.80 g,59.00 g,9.00 g,grains
"Beverages, powder, s",401,0.7g,5.00 mg,0.12 g,98.55 g,95.29 g,grains
"Pie, enriched flour,",237,11g,201.00 mg,1.90 g,34.00 g,15.65 g,grains
"Peach nectar, withou",54,0g,7.00 mg,0.27 g,13.92 g,13.32 g,grains
"Jute, with salt, dra",37,0.2g,247.00 mg,3.68 g,7.29 g,1.00 g,grains
"Cress, with salt, dr",23,0.6g,244.00 mg,1.90 g,3.80 g,3.11 g,grains
"Lotus root, without ",66,0.1g,45.00 mg,1.58 g,16.02 g,0.50 g,grains
"MURRAY, Coconut Bars",461,16g,488.00 mg,7.10 g,73.90 g,22.60 g,grains
"Cream puff, iced, cu",334,19g,265.00 mg,4.41 g,37.43 g,22.05 g,grains
"Muffin, low-fat, com",255,4.2g,413.00 mg,4.23 g,50.05 g,27.05 g,grains
"Cream, light (coffee",191,19g,72.00 mg,2.96 g,2.82 g,3.67 g,grains
"Prairie Turnips, boi",129,0.3g,4.00 mg,1.64 g,29.99 g,4.74 g,grains
"Yogurt, with low cal",105,1.4g,58.00 mg,4.86 g,18.60 g,2.90 g,grains
Meat drippings (lard,889,99g,545.00 mg,0.00 g,0.00 g,0.00 g,grains
"Pork, heated, bonele",507,52g,677.00 mg,8.77 g,2.00 g,0.28 g,grains
"Frozen novelties, PO",81,0.2g,13.00 mg,0.00 g,19.68 g,14.57 g,grains
"Ice creams, Butter P",180,10g,164.00 mg,3.99 g,21.30 g,5.90 g,grains
LOMA LINDA Low Fat B,154,4.7g,481.00 mg,23.10 g,4.90 g,0.30 g,grains
"Salad dressing, milk",97,5.1g,504.00 mg,2.10 g,11.10 g,0,grains
"Apples, with added s",83,0.1g,19.00 mg,0.20 g,20.73 g,0,grains
WORTHINGTON Vegetari,124,2.9g,451.00 mg,18.60 g,6.20 g,0.60 g,grains
"Beverages, canned, o",51,0.1g,2.00 mg,0.30 g,12.70 g,12.06 g,grains
"Artichokes, unprepar",38,0.4g,47.00 mg,2.63 g,7.75 g,0,grains
"Cereals, Regular, In",367,6.3g,4.00 mg,16.00 g,67.00 g,1.00 g,grains
"Fast foods, french f",312,15g,210.00 mg,3.43 g,41.44 g,0.30 g,grains
"Bacon, unprepared, r",407,39g,470.00 mg,12.53 g,0.83 g,0.83 g,grains
KRAFT CHEEZ WHIZ Pas,276,21g,1638.00 mg,12.00 g,9.20 g,6.70 g,grains
"Grapefruit juice, wi",38,0.1g,1.00 mg,0.50 g,8.69 g,8.33 g,grains
"Spaghetti, canned, w",100,4.1g,280.00 mg,4.37 g,11.45 g,2.91 g,grains
"Sweetener, herbal ex",0,0g,0.00 mg,0.00 g,100.00 g,0.00 g,grains
"Snacks, salted, whit",472,21g,328.00 mg,7.10 g,67.78 g,0.78 g,grains
"Beef, raw, kidneys, ",99,3.1g,182.00 mg,17.40 g,0.29 g,0.00 g,grains
"Soybeans, steamed, c",81,4.5g,10.00 mg,8.47 g,6.53 g,0.52 g,grains
"Radishes, with salt,",17,0.2g,249.00 mg,0.67 g,3.43 g,1.83 g,grains
"Oil, (over 70%), lin",884,100g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
"Shortening bread, so",884,100g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
"Turkey, 97% fat-free",95,0.7g,1160.00 mg,20.90 g,1.31 g,0.00 g,grains
"Cereals, dry, peach ",387,9.8g,201.00 mg,10.10 g,68.61 g,24.85 g,grains
"Applesauce, with add",42,0.1g,2.00 mg,0.17 g,11.27 g,9.39 g,grains
Whipped cream substi,100,6g,106.00 mg,0.90 g,10.60 g,10.60 g,grains
"Gooseberries, solids",73,0.2g,2.00 mg,0.65 g,18.75 g,0,grains
"Beverages, dairy bas",428,9.5g,405.00 mg,14.29 g,71.21 g,47.62 g,grains
"Cereals, dry, apples",366,4.6g,454.00 mg,8.62 g,76.74 g,28.87 g,grains
"Cereals, cinnamon, w",361,6.3g,618.00 mg,16.50 g,64.21 g,1.27 g,grains
"HUNGRY MAN, unprepar",136,8.5g,379.00 mg,7.96 g,6.96 g,0.18 g,grains
"Cake, with vanilla f",391,18g,269.00 mg,2.99 g,56.20 g,41.79 g,grains
"Turkey ham, prepacka",124,3.8g,1038.00 mg,19.60 g,2.93 g,0.00 g,grains
"Chrysanthemum, with ",20,0.1g,289.00 mg,1.64 g,4.31 g,2.01 g,grains
"Beverages, diet, dec",0,0g,4.00 mg,0.00 g,0.83 g,0.00 g,grains
"KEEBLER, Original, P",487,23g,1240.00 mg,6.60 g,64.30 g,6.80 g,grains
"Snacks, TERRA CHIPS,",517,30g,246.00 mg,4.13 g,57.97 g,9.75 g,grains
"Candies, M&M's Almon",522,28g,45.00 mg,7.53 g,60.50 g,49.22 g,grains
"Elk, cooked patties ",143,2.8g,56.00 mg,29.45 g,0.00 g,0.00 g,grains
"Grapefruit juice, OC",34,0.1g,3.00 mg,0.58 g,7.93 g,7.50 g,grains
"Succotash, with crea",77,0.5g,245.00 mg,2.64 g,17.61 g,0,grains
"Strawberries, solids",92,0.3g,4.00 mg,0.56 g,23.53 g,21.83 g,grains
"Gelatin desserts, wi",198,0g,862.00 mg,15.67 g,80.21 g,0.00 g,grains
"Chicken, drumstick m",206,11g,392.00 mg,25.65 g,0.12 g,0.12 g,grains
"Chicken, raw, and gi",251,20g,71.00 mg,17.48 g,0.19 g,0,grains
MORNINGSTAR FARMS Se,116,3.5g,196.00 mg,5.30 g,17.30 g,6.00 g,grains
"Toaster Pastries, St",398,11g,355.00 mg,4.70 g,71.10 g,33.00 g,grains
"Cereals, dry, Ham 'n",355,4.7g,1930.00 mg,10.73 g,71.08 g,2.69 g,grains
"SUBWAY, meatball mar",219,8.5g,437.00 mg,9.77 g,26.01 g,4.98 g,grains
"Coffeecake, prepared",318,9.6g,421.00 mg,5.50 g,52.80 g,29.53 g,grains
"Sweet Potatoes, unpr",209,11g,214.00 mg,1.70 g,25.52 g,6.46 g,grains
"Cheese, fat-free, ch",148,0.8g,1528.00 mg,22.50 g,13.40 g,9.95 g,grains
"Beverages, milk base",60,1g,31.00 mg,1.48 g,11.42 g,9.23 g,grains
"UDI'S, Soft & Delici",298,8g,515.00 mg,5.40 g,51.15 g,11.30 g,grains
"Beverages, CRYSTAL G",0,0g,0,0.00 g,0.00 g,0,grains
"Cheese product, redu",240,14g,1587.00 mg,17.60 g,10.60 g,8.02 g,grains
KRAFT CHEEZ WHIZ LIG,215,9.5g,1705.00 mg,16.30 g,16.20 g,8.20 g,grains
"Babyfood, without ad",0,0g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
"Pie crust, enriched,",457,26g,409.00 mg,6.16 g,48.62 g,3.72 g,grains
"Cereals, dry, Countr",340,1.7g,1523.00 mg,9.93 g,75.39 g,0.38 g,grains
"Beef, raw,  external",509,51g,36.00 mg,11.32 g,0.39 g,0.00 g,grains
"MISSION FOODS, 8 inc",287,6g,0,8.70 g,49.60 g,0,grains
"Cereals, dry, summer",353,4.4g,354.00 mg,11.31 g,72.58 g,20.43 g,grains
"Cereals, dry, apple ",390,10g,356.00 mg,8.18 g,70.53 g,29.36 g,grains
"CAMPBELL'S, Essentia",21,0g,198.00 mg,0.82 g,4.53 g,3.29 g,grains
"Nuts, smoke flavor, ",607,56g,548.00 mg,21.43 g,17.86 g,3.57 g,grains
"Turkey breast, roast",126,3.5g,397.00 mg,22.16 g,0.00 g,0,grains
"Sweet rolls, commerc",372,16g,304.00 mg,6.20 g,50.90 g,31.73 g,grains
"Lettuce, raw, butter",13,0.2g,5.00 mg,1.35 g,2.23 g,0.94 g,grains
"PILLSBURY GRANDS, re",293,11g,1066.00 mg,6.16 g,42.41 g,4.60 g,grains
"Onions, raw, spring ",32,0.2g,16.00 mg,1.83 g,7.34 g,2.33 g,grains
"Sour dressing, fille",178,17g,48.00 mg,3.25 g,4.68 g,4.68 g,grains
"PEPPERIDGE FARM, Par",459,17g,1187.00 mg,11.16 g,64.70 g,0.83 g,grains
"PEPPERIDGE FARM, Ori",467,18g,947.00 mg,9.42 g,65.81 g,1.03 g,grains
"Snacks, confectioner",455,20g,486.00 mg,8.60 g,60.13 g,34.00 g,grains
"Babyfood, junior, no",64,2.2g,26.00 mg,1.70 g,9.10 g,0,grains
"Child formula, ready",99,4.8g,36.00 mg,2.86 g,11.15 g,10.50 g,grains
"Candies, COCOAVIA Cr",517,26g,40.00 mg,8.21 g,62.06 g,34.96 g,grains
"Toaster Pastries, Bl",412,13g,398.00 mg,4.60 g,68.41 g,30.90 g,grains
"Milk, calcium fortif",35,0.2g,52.00 mg,3.40 g,4.85 g,4.85 g,grains
"Seeds, type of kerne",592,53g,35.00 mg,17.40 g,21.50 g,0,grains
"OSCAR MAYER, Smokies",315,28g,1036.00 mg,13.50 g,1.70 g,0.30 g,grains
"Pork, raw, pancreas,",199,13g,44.00 mg,18.56 g,0.00 g,0,grains
"Pork, raw, leaf fat,",857,94g,5.00 mg,1.76 g,0.00 g,0,grains
"Radishes, without sa",17,0.2g,13.00 mg,0.67 g,3.43 g,1.83 g,grains
"Fish, Pacific (Alask",63,0.8g,61.00 mg,11.30 g,2.60 g,0,grains
"LITTLE CAESARS 14"" P",265,11g,492.00 mg,12.93 g,29.03 g,3.39 g,grains
KASHI Italian Vegeta,106,2.6g,215.00 mg,4.70 g,16.30 g,2.90 g,grains
"Doughnuts, chocolate",452,25g,326.00 mg,4.93 g,51.33 g,26.65 g,grains
"Oil, for woks and li",884,100g,0.00 mg,0.00 g,0.00 g,0.00 g,grains
"Fast foods, round pi",272,17g,566.00 mg,2.58 g,28.88 g,0.56 g,grains
"Bread, made with mar",326,11g,302.00 mg,4.30 g,54.60 g,0,grains
"KEEBLER, Cheese, Pre",476,23g,1454.00 mg,8.00 g,61.30 g,5.40 g,grains
"Peas, rinsed in tap ",71,1g,231.00 mg,4.33 g,11.82 g,0,grains
"Sausage,  lower sodi",183,4.5g,446.00 mg,21.43 g,14.25 g,0.81 g,grains
"Asparagus, without s",18,0.4g,3.00 mg,2.95 g,1.92 g,0.32 g,grains
"Finger snacks, apple",389,2.3g,13.00 mg,6.19 g,85.79 g,17.84 g,grains
"Bread, no salt, low ",267,3.6g,298.00 mg,8.20 g,49.60 g,4.31 g,grains
"Beverages, restauran",9,0.2g,14.00 mg,0.12 g,1.67 g,0.00 g,grains
"SUNSHINE, Duoz Sharp",500,25g,866.00 mg,9.70 g,60.50 g,1.50 g,grains
"Candies, M&M's Milk ",492,21g,61.00 mg,4.33 g,71.19 g,63.68 g,grains
"Agutuk, meat-caribou",258,19g,95.00 mg,21.70 g,0.90 g,0,grains
"Pancakes, complete (",368,3.1g,1082.00 mg,9.77 g,73.65 g,16.03 g,grains
"Pork, raw, stomach, ",159,10g,75.00 mg,16.85 g,0.00 g,0.00 g,grains
"Pickles, sweet, with",121,0.9g,527.00 mg,1.50 g,26.64 g,23.88 g,grains
"Babyfood, toddlers, ",48,1.5g,176.00 mg,1.11 g,7.47 g,1.17 g,grains
"Turkey thigh, roaste",157,8.5g,437.00 mg,18.80 g,0.00 g,0,grains
"Cereals, dry, 10 min",370,1.5g,7.00 mg,10.50 g,76.50 g,0.20 g,grains
"Sauce, soy sauce, wa",257,16g,1338.00 mg,6.31 g,22.02 g,17.07 g,grains
"Cookie, with chocola",503,24g,348.00 mg,4.10 g,68.83 g,33.80 g,grains
"Beverages, whey and ",49,0.4g,91.00 mg,0.64 g,10.68 g,8.68 g,grains
"Orange juice, undilu",148,0.3g,7.00 mg,2.40 g,35.19 g,29.68 g,grains
"PEPPERIDGE FARM, Che",457,16g,0,11.71 g,66.20 g,0.69 g,grains
"Fish, (Alaska Native",209,13g,870.00 mg,23.19 g,0.00 g,0.00 g,grains
"Babyfood, toddler, s",75,1g,239.00 mg,5.30 g,10.80 g,0,grains
"Oil, filling fat, pa",884,100g,6.00 mg,0.00 g,0.00 g,0.00 g,grains
"SUNSHINE, Cheez-It M",484,21g,919.00 mg,10.80 g,63.70 g,1.00 g,grains
"Cookies, regular, wi",464,19g,388.00 mg,5.21 g,71.00 g,40.67 g,grains
"Frozen novelties, re",53,0g,4.00 mg,0.03 g,13.50 g,0,grains
"Fish, bones removed ",161,5.8g,390.00 mg,27.31 g,0.00 g,0.00 g,grains
"Cake, chocolate with",399,16g,332.00 mg,3.63 g,60.31 g,37.76 g,grains
"Pork, raw, kidneys, ",100,3.3g,121.00 mg,16.46 g,0.00 g,0,grains
"Tangerines, light sy",61,0.1g,6.00 mg,0.45 g,16.19 g,15.49 g,grains
"Granola bar, peanut ",536,31g,193.00 mg,9.60 g,54.10 g,23.63 g,grains
"Beverages, Diet Stra",4,0g,13.00 mg,0.00 g,1.26 g,0.84 g,grains
"KEEBLER, Roasted Alm",472,20g,743.00 mg,8.40 g,66.50 g,11.70 g,grains
"Mungo beans, without",105,0.6g,7.00 mg,7.54 g,18.34 g,2.01 g,grains
"BURGER KING, Egg and",308,22g,577.00 mg,12.09 g,15.90 g,3.12 g,grains
"Sauce, peanuts, suga",179,6.3g,319.00 mg,2.02 g,28.46 g,18.80 g,grains
"Fast foods, plain wi",250,11g,753.00 mg,16.28 g,20.89 g,3.64 g,grains
"Snacks, KELLOGG'S RI",414,9g,351.00 mg,3.40 g,80.50 g,19.36 g,grains
"Pork, raw, spleen, v",100,2.6g,98.00 mg,17.86 g,0.00 g,0,grains
"Lamb, cooked, extern",538,52g,58.00 mg,16.90 g,0.00 g,0.00 g,grains
"KEEBLER, soft, Choco",437,16g,348.00 mg,5.30 g,69.90 g,36.20 g,grains
"KEEBLER, soft, Oatme",420,14g,321.00 mg,6.10 g,69.10 g,32.30 g,grains
"Ginger root, with ar",20,0.1g,906.00 mg,0.33 g,4.83 g,0.00 g,grains
"New zealand spinach,",12,0.2g,343.00 mg,1.30 g,2.13 g,0.25 g,grains
"KEEBLER, Holiday/Spi",498,24g,271.00 mg,4.10 g,68.80 g,33.80 g,grains
Orange-grapefruit ju,43,0.1g,3.00 mg,0.60 g,10.28 g,10.18 g,grains
"KELLOGG'S, Sour Crea",365,8g,764.00 mg,7.10 g,74.30 g,3.50 g,grains
"Beverages, peanut fl",101,3.1g,54.00 mg,3.50 g,14.74 g,0,grains
LOMA LINDA Tender Ro,145,5.6g,443.00 mg,16.30 g,7.40 g,1.00 g,grains
"Babyfood, junior, sp",68,1.4g,30.00 mg,2.57 g,11.42 g,2.72 g,grains
"Cookies, without rai",447,18g,598.00 mg,6.80 g,66.40 g,0,grains
"Babyfood, toddler, a",60,1.6g,183.00 mg,3.80 g,7.50 g,1.12 g,grains
Pasta with Sliced Fr,90,2.4g,287.00 mg,4.37 g,12.70 g,3.17 g,grains
"Cereals, dry, Raisin",360,4g,440.00 mg,9.11 g,75.68 g,35.65 g,grains
"Babyfood, finger sna",421,9.9g,214.00 mg,6.40 g,76.68 g,28.00 g,grains
"Toaster Pastries, S'",392,11g,410.00 mg,6.20 g,69.60 g,36.50 g,grains
"Pork, raw, tongue, v",225,17g,110.00 mg,16.30 g,0.00 g,0.00 g,grains
"Fast foods, soft, le",189,6.4g,613.00 mg,13.30 g,19.69 g,1.30 g,grains
"Restaurant, cheese r",154,5.7g,306.00 mg,7.07 g,18.50 g,4.50 g,grains
"SUBWAY, tuna sub on ",221,12g,329.00 mg,12.33 g,15.95 g,1.93 g,grains
"Cranberry, raw (Alas",55,0.5g,0,0.40 g,12.20 g,0,grains
"Jams, sweetened with",212,0g,0.00 mg,0.00 g,52.93 g,42.00 g,grains
"Sweet rolls, refrige",333,12g,765.00 mg,5.00 g,51.60 g,0,grains
Nutritional suppleme,88,3.1g,92.00 mg,4.40 g,11.88 g,2.64 g,grains
"Beverages, Lemonade,",46,0g,6.00 mg,0.00 g,12.08 g,11.67 g,grains
"Bread, salvadoran sw",374,17g,510.00 mg,7.12 g,47.84 g,24.90 g,grains
"Imitation cheese, lo",390,32g,670.00 mg,25.00 g,1.00 g,1.00 g,grains
"Fish, kippered (Alas",141,4.8g,460.00 mg,24.50 g,0.00 g,0.00 g,grains
"KEEBLER, Toasted Pec",483,22g,654.00 mg,7.60 g,65.70 g,11.60 g,grains
"Ice creams, Chocolat",151,5.8g,77.00 mg,3.54 g,25.17 g,5.81 g,grains
"Beverages, French Va",481,19g,399.00 mg,2.50 g,74.60 g,54.30 g,grains
"Pasta, TINKYADA, coo",138,1.7g,4.00 mg,3.46 g,32.20 g,0.00 g,grains
"Rolls, calcium-forti",255,3.5g,512.00 mg,9.30 g,46.50 g,9.30 g,grains
"Chicken, thigh meat ",226,15g,335.00 mg,22.51 g,0.12 g,0.12 g,grains
"Pork, raw, brain, va",127,9.2g,120.00 mg,10.28 g,0.00 g,0,grains
"Candies, no sugar or",354,0.2g,7.00 mg,0.00 g,88.10 g,70.00 g,grains
"Beverages, Concord G",23,0g,8.00 mg,0.36 g,5.78 g,5.02 g,grains
"KELLOGG, Mixed Berry",370,7.6g,284.00 mg,4.30 g,72.80 g,33.60 g,grains
"Pork, raw, liver, va",134,3.7g,87.00 mg,21.39 g,2.47 g,0,grains
"Pork, raw, lungs, va",85,2.7g,153.00 mg,14.08 g,0.00 g,0,grains
"McDONALD'S, with syr",285,15g,437.00 mg,7.56 g,29.48 g,9.88 g,grains
"Snacks, COMBOS Snack",463,17g,1117.00 mg,9.85 g,66.50 g,17.60 g,grains
"Crackers, whole whea",398,11g,1214.00 mg,7.14 g,68.25 g,0.00 g,grains
"Beverages, powder, h",392,11g,1214.00 mg,53.57 g,20.38 g,3.57 g,grains
"PEPPERIDGE FARM, Piz",469,19g,815.00 mg,9.67 g,65.11 g,0.86 g,grains
KASHI Mushroom & Asp,116,3.7g,206.00 mg,4.30 g,17.00 g,1.30 g,grains
"Apricots, without ad",85,0.2g,4.00 mg,1.20 g,22.15 g,19.57 g,grains
"Beverages, Guava Pas",33,0g,14.00 mg,0.00 g,7.82 g,7.82 g,grains
"Beverages, Diet Trop",4,0g,15.00 mg,0.00 g,1.26 g,0.42 g,grains
"Mung beans, stir-fri",50,0.2g,9.00 mg,4.30 g,10.59 g,0,grains
"Salad dressing, asso",165,11g,1102.00 mg,0.16 g,16.60 g,14.29 g,grains
"Beverages, half the ",352,0.5g,37.00 mg,14.42 g,73.18 g,0.00 g,grains
"Snacks, salt added, ",500,28g,884.00 mg,9.00 g,57.20 g,0,grains
"Jellies, any flavors",121,0g,3.00 mg,0.55 g,29.60 g,3.39 g,grains
"Yogurt, 13 grams pro",56,0.2g,77.00 mg,5.73 g,7.68 g,7.68 g,grains
"Yogurt, 8 grams prot",61,3.3g,46.00 mg,3.47 g,4.66 g,4.66 g,grains
"Pumpkin flowers, wit",15,0.1g,6.00 mg,1.09 g,3.30 g,2.40 g,grains
"Pork, raw, heart, va",118,4.4g,56.00 mg,17.27 g,1.33 g,0.00 g,grains
"Candies, STARBURST S",400,7.8g,89.00 mg,0.39 g,79.73 g,56.10 g,grains
"Beef, cooked, interm",560,57g,25.00 mg,7.90 g,3.39 g,0.00 g,grains
